Product Name,Category,Total Qty,Wishlists,Buy Price,Sell Price,URL,Barcode,Manufacturer SKU,ASIN,MSRP,Brand,Weight,Description,Max Qty,Domestic Only,Tax Exempt
Atzocan Archer,Ixalan,9,0,0.00,0.50,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/atzocan_archer/1534643,,,B075RGJFCS,0.00,"",0.005,"",4,,false
Axis of Mortality,Ixalan,2,0,0.00,0.99,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/axis_of_mortality/1534653,,,B075RGSHK8,0.00,"",0.005,"",4,,false
Bishop's Soldier,Ixalan,60,0,0.00,0.25,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/bishops_soldier/1534663,,,B075RJ8GBT,0.00,"",0.005,"",4,,false
Blight Keeper,Ixalan,60,0,0.00,0.25,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/blight_keeper/1534673,,,B075RHB9WM,0.00,"",0.005,"",4,,false
Blinding Fog,Ixalan,60,0,0.00,0.25,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/blinding_fog/1534683,,,B075RJ9H4K,0.00,"",0.005,"",4,,false
Blossom Dryad,Ixalan,60,0,0.00,0.25,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/blossom_dryad/1534693,,,B075RHXZTB,0.00,"",0.005,"",4,,false
Brazen Buccaneers,Ixalan,60,0,0.00,0.25,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/brazen_buccaneers/1534703,,,B075RH5WR3,0.00,"",0.005,"",4,,false
Bright Reprisal,Ixalan,17,0,0.00,0.50,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/bright_reprisal/1534713,,,B075RG9X99,0.00,"",0.005,"",4,,false
Cancel,Ixalan,60,0,0.00,0.25,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/cancel/1534723,,,B075RG72PZ,0.00,"",0.005,"",4,,false
Cobbled Wings,Ixalan,60,0,0.00,0.25,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/cobbled_wings/1534733,,,B075RGZVSN,0.00,"",0.005,"",4,,false
